Mumbai,30-01-2015,Very Poor
Ahmedabad,31-01-2015,Severe
Bengaluru,31-01-2015,Severe
Chennai,31-01-2015,Severe
Delhi,31-01-2015,Very Poor
Hyderabad,31-01-2015,Very Poor
Lucknow,31-01-2015,Very Poor
Mumbai,31-01-2015,Very Poor
Ahmedabad,1/2/2015,Severe
Bengaluru,1/2/2015,Severe
Chennai,1/2/2015,Severe
Delhi,1/2/2015,Very Poor
Hyderabad,1/2/2015,Very Poor
Lucknow,1/2/2015,Very Poor
Mumbai,1/2/2015,Very Poor
Ahmedabad,2/2/2015,Severe
Bengaluru,2/2/2015,Severe
Chennai,2/2/2015,Severe
Delhi,2/2/2015,Very Poor
Hyderabad,2/2/2015,Very Poor
Lucknow,2/2/2015,Very Poor
Mumbai,2/2/2015,Very Poor
Ahmedabad,3/2/2015,Severe
Bengaluru,3/2/2015,Severe
Chennai,3/2/2015,Severe
Delhi,3/2/2015,Very Poor
Hyderabad,3/2/2015,Very Poor
Lucknow,3/2/2015,Very Poor
Mumbai,3/2/2015,Very Poor
Ahmedabad,4/2/2015,Poor
Bengaluru,4/2/2015,Poor
Chennai,4/2/2015,Poor
Delhi,4/2/2015,Very Poor
Hyderabad,4/2/2015,Very Poor
Lucknow,4/2/2015,Very Poor
Mumbai,4/2/2015,Very Poor
Ahmedabad,5/2/2015,Moderate
Bengaluru,5/2/2015,Moderate
Chennai,5/2/2015,Moderate
Delhi,5/2/2015,Poor
Hyderabad,5/2/2015,Poor
Lucknow,5/2/2015,Poor
Mumbai,5/2/2015,Poor
Ahmedabad,6/2/2015,Moderate
Bengaluru,6/2/2015,Moderate
Chennai,6/2/2015,Moderate
Delhi,6/2/2015,Very Poor
Hyderabad,6/2/2015,Very Poor
Lucknow,6/2/2015,Very Poor
Mumbai,6/2/2015,Very Poor
Ahmedabad,7/2/2015,Poor
Bengaluru,7/2/2015,Poor
Chennai,7/2/2015,Poor
Delhi,7/2/2015,Very Poor
Hyderabad,7/2/2015,Very Poor
Lucknow,7/2/2015,Very Poor
Mumbai,7/2/2015,Very Poor
Ahmedabad,8/2/2015,Very Poor
Bengaluru,8/2/2015,Very Poor
Chennai,8/2/2015,Very Poor
Delhi,8/2/2015,Very Poor
Hyderabad,8/2/2015,Very Poor
Lucknow,8/2/2015,Very Poor
Mumbai,8/2/2015,Very Poor
Ahmedabad,9/2/2015,Very Poor
Bengaluru,9/2/2015,Very Poor
Chennai,9/2/2015,Very Poor
Delhi,9/2/2015,Poor
Hyderabad,9/2/2015,Poor
Lucknow,9/2/2015,Poor
Mumbai,9/2/2015,Poor
Ahmedabad,10/2/2015,Poor
Bengaluru,10/2/2015,Poor
Chennai,10/2/2015,Poor
Delhi,10/2/2015,Very Poor
Hyderabad,10/2/2015,Very Poor
Lucknow,10/2/2015,Very Poor
Mumbai,10/2/2015,Very Poor
Ahmedabad,11/2/2015,Very Poor
Bengaluru,11/2/2015,Very Poor
Chennai,11/2/2015,Very Poor
Delhi,11/2/2015,Very Poor
Hyderabad,11/2/2015,Very Poor
Lucknow,11/2/2015,Very Poor
Mumbai,11/2/2015,Very Poor
Ahmedabad,12/2/2015,Poor
Bengaluru,12/2/2015,Poor
Chennai,12/2/2015,Poor
Delhi,12/2/2015,Very Poor
Hyderabad,12/2/2015,Very Poor
Lucknow,12/2/2015,Very Poor
Mumbai,12/2/2015,Very Poor
Ahmedabad,13-02-2015,Severe
Bengaluru,13-02-2015,Severe
Chennai,13-02-2015,Severe
Delhi,13-02-2015,Very Poor
Hyderabad,13-02-2015,Very Poor
Lucknow,13-02-2015,Very Poor
Mumbai,13-02-2015,Very Poor
Ahmedabad,14-02-2015,Severe
Bengaluru,14-02-2015,Severe
Chennai,14-02-2015,Severe
Delhi,14-02-2015,Very Poor
Hyderabad,14-02-2015,Very Poor
Lucknow,14-02-2015,Very Poor
Mumbai,14-02-2015,Very Poor
Ahmedabad,15-02-2015,Severe
Bengaluru,15-02-2015,Severe
Chennai,15-02-2015,Severe
Delhi,15-02-2015,Very Poor
Hyderabad,15-02-2015,Very Poor
Lucknow,15-02-2015,Very Poor
Mumbai,15-02-2015,Very Poor
Ahmedabad,16-02-2015,Severe
Bengaluru,16-02-2015,Severe
Chennai,16-02-2015,Severe
Delhi,16-02-2015,Very Poor
Hyderabad,16-02-2015,Very Poor
Lucknow,16-02-2015,Very Poor
Mumbai,16-02-2015,Very Poor
Ahmedabad,17-02-2015,Severe
Bengaluru,17-02-2015,Severe
Chennai,17-02-2015,Severe
Delhi,17-02-2015,Very Poor
Hyderabad,17-02-2015,Very Poor
Lucknow,17-02-2015,Very Poor
Mumbai,17-02-2015,Very Poor
Ahmedabad,18-02-2015,Severe
Bengaluru,18-02-2015,Severe
Chennai,18-02-2015,Severe
Delhi,18-02-2015,Very Poor
Hyderabad,18-02-2015,Very Poor
Lucknow,18-02-2015,Very Poor
Mumbai,18-02-2015,Very Poor
Ahmedabad,19-02-2015,Severe
Bengaluru,19-02-2015,Severe
Chennai,19-02-2015,Severe
Delhi,19-02-2015,Very Poor
Hyderabad,19-02-2015,Very Poor
Lucknow,19-02-2015,Very Poor
Mumbai,19-02-2015,Very Poor
Ahmedabad,20-02-2015,Severe
Bengaluru,20-02-2015,Severe
Chennai,20-02-2015,Severe
Delhi,20-02-2015,Very Poor
Hyderabad,20-02-2015,Very Poor
Lucknow,20-02-2015,Very Poor
Mumbai,20-02-2015,Very Poor
Ahmedabad,21-02-2015,Severe
Bengaluru,21-02-2015,Severe
Chennai,21-02-2015,Severe
Delhi,21-02-2015,Very Poor
Hyderabad,21-02-2015,Very Poor
Lucknow,21-02-2015,Very Poor
Mumbai,21-02-2015,Very Poor
Ahmedabad,22-02-2015,Severe
Bengaluru,22-02-2015,Severe
Chennai,22-02-2015,Severe
Delhi,22-02-2015,Poor
Hyderabad,22-02-2015,Poor
Lucknow,22-02-2015,Poor
Mumbai,22-02-2015,Poor
Ahmedabad,23-02-2015,Severe
Bengaluru,23-02-2015,Severe
Chennai,23-02-2015,Severe
Delhi,23-02-2015,Poor
Hyderabad,23-02-2015,Poor
Lucknow,23-02-2015,Poor
Mumbai,23-02-2015,Poor
Ahmedabad,24-02-2015,Severe
Bengaluru,24-02-2015,Severe
Chennai,24-02-2015,Severe
Delhi,24-02-2015,Very Poor
Hyderabad,24-02-2015,Very Poor
Lucknow,24-02-2015,Very Poor
Mumbai,24-02-2015,Very Poor
Ahmedabad,25-02-2015,Poor
Bengaluru,25-02-2015,Poor
Chennai,25-02-2015,Poor
Delhi,25-02-2015,Very Poor
Hyderabad,25-02-2015,Very Poor
Lucknow,25-02-2015,Very Poor
Mumbai,25-02-2015,Very Poor
Ahmedabad,26-02-2015,Very Poor
Bengaluru,26-02-2015,Very Poor
Chennai,26-02-2015,Very Poor
Delhi,26-02-2015,Very Poor
Hyderabad,26-02-2015,Very Poor
Lucknow,26-02-2015,Very Poor
Mumbai,26-02-2015,Very Poor
Ahmedabad,27-02-2015,Very Poor
Bengaluru,27-02-2015,Very Poor
Chennai,27-02-2015,Very Poor
Delhi,27-02-2015,Very Poor
Hyderabad,27-02-2015,Very Poor
Lucknow,27-02-2015,Very Poor
Mumbai,27-02-2015,Very Poor
Ahmedabad,28-02-2015,Very Poor
Bengaluru,28-02-2015,Very Poor
Chennai,28-02-2015,Very Poor
Delhi,28-02-2015,Very Poor
Hyderabad,28-02-2015,Very Poor
Lucknow,28-02-2015,Very Poor
Mumbai,28-02-2015,Very Poor
Ahmedabad,1/3/2015,Very Poor
Bengaluru,1/3/2015,Very Poor
Chennai,1/3/2015,Very Poor
Delhi,1/3/2015,Very Poor
Hyderabad,1/3/2015,Very Poor
Lucknow,1/3/2015,Very Poor
Mumbai,1/3/2015,Very Poor
Ahmedabad,2/3/2015,Moderate
Bengaluru,2/3/2015,Moderate
Chennai,2/3/2015,Moderate
Delhi,2/3/2015,Poor
Hyderabad,2/3/2015,Poor
Lucknow,2/3/2015,Poor
Mumbai,2/3/2015,Poor
Ahmedabad,3/3/2015,Severe
Bengaluru,3/3/2015,Severe
Chennai,3/3/2015,Severe
Delhi,3/3/2015,Poor
Hyderabad,3/3/2015,Poor
Lucknow,3/3/2015,Poor
Mumbai,3/3/2015,Poor
Ahmedabad,4/3/2015,Very Poor
Bengaluru,4/3/2015,Very Poor
Chennai,4/3/2015,Very Poor
Delhi,4/3/2015,Moderate
Hyderabad,4/3/2015,Moderate
Lucknow,4/3/2015,Moderate
Mumbai,4/3/2015,Moderate
Ahmedabad,5/3/2015,Severe
Bengaluru,5/3/2015,Severe
Chennai,5/3/2015,Severe
Delhi,5/3/2015,Poor
Hyderabad,5/3/2015,Poor
Lucknow,5/3/2015,Poor
Mumbai,5/3/2015,Poor
Ahmedabad,6/3/2015,Poor
Bengaluru,6/3/2015,Poor
Chennai,6/3/2015,Poor
Delhi,6/3/2015,Very Poor
Hyderabad,6/3/2015,Very Poor
Lucknow,6/3/2015,Very Poor
Mumbai,6/3/2015,Very Poor
Ahmedabad,7/3/2015,Very Poor
Bengaluru,7/3/2015,Very Poor
Chennai,7/3/2015,Very Poor
Delhi,7/3/2015,Poor
Hyderabad,7/3/2015,Poor
Lucknow,7/3/2015,Poor
Mumbai,7/3/2015,Poor
Ahmedabad,8/3/2015,Moderate
Bengaluru,8/3/2015,Moderate
Chennai,8/3/2015,Moderate
Delhi,8/3/2015,Moderate
Hyderabad,8/3/2015,Moderate
Lucknow,8/3/2015,Moderate
Mumbai,8/3/2015,Moderate
Ahmedabad,9/3/2015,Poor
Bengaluru,9/3/2015,Poor
Chennai,9/3/2015,Poor
Delhi,9/3/2015,Moderate
Hyderabad,9/3/2015,Moderate
Lucknow,9/3/2015,Moderate
Mumbai,9/3/2015,Moderate
Ahmedabad,10/3/2015,Poor
Bengaluru,10/3/2015,Poor
Chennai,10/3/2015,Poor
Delhi,10/3/2015,Poor
Hyderabad,10/3/2015,Poor
Lucknow,10/3/2015,Poor
Mumbai,10/3/2015,Poor
Ahmedabad,11/3/2015,Very Poor
Bengaluru,11/3/2015,Very Poor
Chennai,11/3/2015,Very Poor
Delhi,11/3/2015,Poor
Hyderabad,11/3/2015,Poor
Lucknow,11/3/2015,Poor
